Source Page Title	URL	Domain Score	Page Score	Link Type	Anchor Backlink	First Seen	Last Seen
Estudantes criam software que formata textos segundo ABNT	http://www.blogdasppps.com/2015/08/estudantes-criam-software-que-formata.html	0	49	Text	site	2019-04-03	2019-04-03
elsevier template * 28 images - elsevier template templates collections, elsevier journal template elsevier cover letter dolapgnetband free template design, elsevier journal template sciencedirect template free template design, template essay collegeconsultants x fc2, elsevier journal template sciencedirect template free template design	http://luckyeng.website/elsevier-template/	0	49	Text	.	2018-12-21	2018-12-21
Japi em Foco: Estudantes criam aplicativo que organiza texto com normas da ABNT	https://japirnemfoco.blogspot.com/2015/08/estudantes-criam-aplicativo-que.html	0	48	Text	um blog	2018-10-16	2018-11-01
1 de setembro de 2015 (ter) às 00:05 – Página: 2 – Agrosoft	https://www.agrosoft.com.br/2015/09/01/page/2/	0	48	Text	Fast Format	2019-04-15	2019-04-15
	http://roman365.info/como-fazer-cita%C3%A7%C3%B5es-em-apresenta%C3%A7%C3%B5es	0	47	Image	citacao direta normas e regras da abnt para tcc	2018-11-03	2018-11-03
Resume Exemplo. cv exemplo vatoz atozdevelopment co. the best easy to edit resume models in word noctula store. 33 hostess resume sample anfitri exemplo cv visualcv retomar. resumo profissional qualificações e diferenciais vagas profissões. cpa resume resume badak. nmdnconference.com - Example Resume And Cover Letter	http://nmdnconference.com/resume-exemplo.html	0	47	Text	.	2018-11-14	2018-12-16
Estudantes criam aplicativo com a função de organizar textos – Maraú Notícias	http://www.maraunoticias.com/tecnologia/18322-estudantes-criam-aplicativo-com-a-funcao-de-organizar-textos.html	0	47	Text	Fast Format	2019-03-08	2019-03-08
	https://www.vdstube.com/aprenda-a-fazer-o-seu-tcc/	0	47	Text	http://www.fastformat.co/	2018-08-10	2018-08-10
Alexa top domain list || list.show || page 219	http://list.show/domain-list-219	0	46	Text	fastformat.co	2018-09-16	2019-02-13
Rebolinho: O Brasil tem muita gente boa	http://www.rebolinho.com.br/2016/02/o-brasil-tem-muita-gente-boa.html	0	43	Text	um blog	2018-11-07	2018-11-07
Intervalo da Notícias: Estudantes criam aplicativo que organiza texto com normas da ABNT	http://intervalodanoticias.blogspot.com/2015/08/estudantes-criam-aplicativo-que.html	0	42	Text	um blog	2017-10-03	2018-11-02
	https://sportsmedupdate.info/mind-the-graph/	0	42	Image		2018-08-03	2018-08-05
Trabalho em grupo: 8 aplicativos pra facilitar sua vida	https://upmeapp.com.br/blog/trabalho-em-grupo-8-aplicativos-pra-facilitar-sua-vida	0	42	Text	FastFormat	2018-09-16	2018-11-01
LITORAL CENTRO - COMUNICAÇÃO E IMAGEM ONLINE: Eu, Psicóloga | Como padronizar seus trabalhos acadêmicos nas normas ABNT automaticamente	http://aveiro123.blogspot.com/2018/02/eu-psicologa-como-padronizar-seus.html	0	42	Text	FastFormat	2018-08-09	2018-11-02
Hans-jörg Schek | Search A Name - Contact, Pictures, Profiles & more!	http://www.ohkay-dohkay.com/s/hans-j%C3%B6rg+schek	0	42	Text	Hans-Jörg Schek - FastFormat	2018-09-04	2018-09-09
TCC: ferramentas online que vão te ajudar a fazer o seu projeto de conclusão de curso	http://cliquenews.com.br/ciencia-e-tecnologia/12130/tcc-ferramentas-online-que-vao-te-ajudar-a-fazer-o-seu-projeto-de-conclusao-de-curso	0	41	Text	FastFormat	2018-08-09	2018-09-05
Regras ABNT atualizadas para TCC e Monografias	http://conectandouniversitarios.com.br/2017/03/04/regras-abnt-atualizadas-para-tcc-e-monografias/	0	41	Text	https://fastformat.co/	2018-04-24	2019-04-11
Blog da Biblioteca Central de Ribeirão Preto/USP: Ferramentas Úteis (gratuitas)	http://blogbcrp.blogspot.com/p/ferramentas-gratuitas.html	0	41	Text	FastFormat -	2018-06-16	2018-09-02
Japi em Foco: Como padronizar seus trabalhos acadêmicos nas normas ABNT automaticamente	http://www.japiemfoco.com/2015/12/como-padronizar-seus-trabalhos.html	0	41	Text	FastFormat	2018-04-24	2018-09-05
Estudantes da UFPE criam programa para organizar textos às normas da ABNT ~ Blog Benjamin Leite	http://www.benjaminleite.com.br/2015/08/estudantes-da-ufpe-criam-programa-para.html	0	40	Text	FastFormat	2017-09-19	2018-10-31
LEME JURÍDICO - O seu portal de Direito e Justiça na internet.: Art. 5º CF/88 (...)	http://lemejuridico.blogspot.com/2008/07/art-5-cf88.html	0	39	Text	FORMATE SEU TRABALHO ACADÊMICO (ABNT	2018-07-13	2018-11-01
Tags - ABNT | LeiaJá	http://bureaujuridico.com.br/tags/abnt	0	38	Text	site	2018-06-07	2018-10-14
	http://www.baostat.com/list/45/	0	38	Text	fastformat.co	2018-07-26	2018-07-26
08 Aplicativos para android Inovadores [O 6° é o que eu mais gostei] - Mestre Android - Novidades Android!	https://mestreandroid.com/08-aplicativos-para-android-inovadores-o-6-e-o-que-eu-mais-gostei/	0	38	Text	clicar nesse link.	2018-05-13	2018-11-06
template for springer journals - 28 images - svjour3 springer journals template sharelatex, 10 template for springer journals, top result template for springer journals awesome, journal of chemical physics template inspirational, templates fastformat	http://cac-mods.info/template-for-springer-journals.html	0	38	Text	templates fastformat	2018-08-17	2018-08-17
	http://sieuthichungcu.info/barao-de-maua-logo%20-7733ab7e/	0	38	Image	Barao De Maua Logo	2018-08-03	2018-08-03
Free Resume Templates Word » form td f rev | Resume Templates Word	https://superdirectory.us/form-td-f-90-22-1-rev-1-2012/	0	37	Image		2018-08-14	2018-08-14
Meditabundamente: Tem que entregar TCC até dezembro? Seus problemas acabaram!	http://meditabundamente.blogspot.com/2015/11/tem-que-entregar-tcc-ate-dezembro-seus.html	0	37	Text	FastFormat	2018-09-15	2018-11-01
Duc Conrad Tran-van | Free People Search - Contact, Pictures, Profiles & more!	http://www.namepeeper.com/s/duc+conrad+tran-van	0	37	Text	FastRef | FastFormat	2018-10-31	2018-10-31
Olhar Arquivístico: Ex-aluno de Computação da Ufal disponibiliza software para editoração de trabalhos acadêmicos	https://olhararquivistico.blogspot.com/2015/08/ex-aluno-de-computacao-da-ufal.html	0	36	Text	http://blog.fastformat.co	2018-11-03	2018-11-03
Dendê News: Estudantes da Ufpe criam site que organiza texto com normas da ABNT	http://www.dendenews.com/2015/08/estudantes-da-ufpe-criam-site-que.html	0	36	Text	um blog	2018-07-20	2018-11-03
Alexa top domain list || page 85	http://www.surekha.co.in/domain-list-85	0	36	Text	fastformat.co	2019-04-09	2019-04-12
Capa De Trabalho Academico Unip. Mais Um Minicurso Com Inscries Encerradas. Isso Facilitar Muito O Seu Trabalho Futuro Para A Adio De Datas Localidades Citaes E Demais Componentes Do Seu Modelo. Relat	http://klickyes.com/capa-de-trabalho-academico-unip.html	0	36	Text	.	2018-11-03	2018-11-03
	http://injobresumes.com/apa-latex-template.html	0	36	Text	.	2018-07-31	2018-07-31
	http://validrank.info/Acm-Template	0	36	Text		2018-07-27	2018-07-27
Como Criar Um Modelo De Or 231 Amento | Jzgreentown.com	http://jzgreentown.com/como-criar-um-modelo-de-or-231-amento.html	0	35	Text	.	2018-09-21	2018-09-22
Alexa top domain list || websitescrawl.com || page 172	http://tejal.international/domain-list-172	0	35	Text	fastformat.co	2018-11-15	2019-02-14
Gazeta Cairuense: Estudantes criam site que organiza texto com normas da ABNT	http://www.gazetacairuense.com/2015/08/estudantes-criam-site-que-organiza.html	0	34	Text	um blog	2018-09-03	2018-11-04
	http://budkasobak.xyz/?k=httpsaccountsgooglecom	0	34	Text		2018-08-16	2018-08-16
	http://zoubi.net/revista-de-online.html	0	34	Text	.	2018-08-09	2018-08-09
	http://internetwealthreport.info/porque-no-trabalho-academico-devem-ter-cita%C3%A7%C3%B5es-e-refer%C3%AAncias	0	33	Image	formulas normas e regras da abnt para tcc	2018-10-31	2018-10-31
	https://coppha.info/mind-the-graph/	0	33	Image		2018-08-12	2018-08-12
